[[1 1 1 ..., 0 0 0]
 [0 0 1 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]
 ..., 
 [0 0 0 ..., 0 0 0]
 [0 0 0 ..., 0 0 0]
 [0 0 1 ..., 0 0 0]]
3132
tree prunning end, 1 roots, 120 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 70 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 144 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 116 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 94 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 128 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 154 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 76 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 152 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 98 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 164 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 106 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 102 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 68 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 238 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 34 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 122 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 170 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 100 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 120 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 150 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 190 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 178 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 148 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 98 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 166 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 200 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 124 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 186 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 138 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 170 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 144 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 138 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 82 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 256 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 46 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 132 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 166 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 110 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 116 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 152 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 252 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 182 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 136 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 106 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 168 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 300 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 154 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 166 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 114 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 222 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 140 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 162 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 80 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 244 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 48 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 124 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 170 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 126 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 110 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 154 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 256 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 196 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 166 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 118 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 196 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 280 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 168 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 196 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 146 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 260 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 124 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 212 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 82 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 244 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 90 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 128 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 136 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 136 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 116 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 172 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 264 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 224 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 202 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 128 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 198 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 296 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 176 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 240 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 138 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 226 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 164 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 180 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 74 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 244 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 124 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 158 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 140 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 144 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 158 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 168 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 254 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 214 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 206 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 136 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 186 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 276 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 152 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 208 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 148 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 212 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 172 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 204 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 94 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 194 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 136 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 158 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 158 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 150 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 168 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 170 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 316 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 206 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 222 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 138 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 224 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 282 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 158 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 262 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 138 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 248 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 156 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 244 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 90 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 238 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 94 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 162 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 112 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 182 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 154 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 190 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 250 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 222 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 202 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 138 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 236 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 316 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 184 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 226 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 168 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 210 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 126 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 262 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 98 extra nodes, 0 pruned nodes ,max_depth=10
tree prunning end, 1 roots, 188 extra nodes, 0 pruned nodes ,max_depth=10
